Object,positionX,positionY,velocityX,velocityY
Airplane2,1201.814697,-1276.855103,5.000000,-33.075001
Airplane3,654.899780,-1724.160278,1.000000,-33.124001
Airplane4,1461.318115,-1498.713379,7.000000,-33.192600
Airplane0,2325.460205,-1776.957520,14.000000,-33.310200
Airplane1,3069.274170,-1556.403442,18.000000,-33.359200
Airplane2,1218.859741,-1333.799438,5.000000,-33.408199
Airplane3,658.315796,-1781.338623,1.000000,-33.476799
Airplane4,1485.265137,-1556.059204,7.000000,-33.525799
Airplane0,2373.522217,-1834.706421,14.000000,-33.643402
Airplane1,3131.266113,-1614.522949,18.000000,-33.751202
Airplane2,1236.129761,-1392.256958,5.000000,-33.849201
Airplane3,661.774780,-1839.965576,1.000000,-33.898201
Airplane4,1509.513184,-1614.855713,7.000000,-33.947201
Airplane0,2422.284180,-1894.149780,14.000000,-34.133400
Airplane1,3194.068115,-1674.171265,18.000000,-34.192200
Airplane2,1253.604736,-1452.110596,5.000000,-34.250999
Airplane3,665.275757,-1900.024902,1.000000,-34.309799
Airplane4,1534.062134,-1675.121094,7.000000,-34.368599
Airplane0,2471.494141,-1954.690430,14.000000,-34.447002
Airplane1,3257.428223,-1734.884277,18.000000,-34.496002
Airplane2,1271.234741,-1513.030762,5.000000,-34.554802
Airplane3,668.806763,-1961.117920,1.000000,-34.603802
Airplane4,1558.828125,-1736.456543,7.000000,-34.672401
Airplane0,2521.180176,-2016.407837,14.000000,-34.780201
Airplane1,3321.454102,-1796.880249,18.000000,-34.858601
Airplane2,1289.044800,-1575.201172,5.000000,-34.907600
Airplane3,672.374756,-2023.497925,1.000000,-34.966400
Airplane4,1583.846069,-1799.046631,7.000000,-35.025200
Airplane0,2571.328125,-2079.278320,14.000000,-35.103600
Airplane1,3386.056152,-1859.996704,18.000000,-35.172199
Airplane2,1307.009766,-1638.458496,5.000000,-35.211399
Airplane3,675.974731,-2087.001953,1.000000,-35.279999
Airplane4,1609.074097,-1862.691772,7.000000,-35.319202
Airplane0,2621.938232,-2143.312500,14.000000,-35.427002
Airplane1,3451.216064,-1924.208252,18.000000,-35.476002
Airplane2,1325.129761,-1702.812012,5.000000,-35.515202
Airplane3,679.602722,-2151.497559,1.000000,-35.554401
Airplane4,1634.505127,-1927.365356,7.000000,-35.603401
Airplane0,2673.038330,-2208.592773,14.000000,-35.770000
Airplane1,3517.204102,-1990.062134,18.000000,-35.926800
Airplane2,1343.519775,-1769.097656,5.000000,-36.044399
Airplane3,683.288696,-2218.071777,1.000000,-36.122799
Airplane4,1660.349121,-1994.156616,7.000000,-36.181602
